carrier,lat,lon
La Poste,48.8678,2.3839
La Poste,48.85699,2.319331
La Poste,48.870673,2.308178
La Poste,48.869278,2.372281
La Poste,48.869699,2.34151
La Poste,48.848493,2.261679
La Poste,48.8872839,2.31801502
La Poste,48.874696,2.384838
La Poste,48.839929,2.393895
La Poste,46.2432966,6.02494014
La Poste,48.890314,2.359597
La Poste,48.858698,2.402789
La Poste,48.891394,2.326888
La Poste,48.876798,2.28645
La Poste,48.830508,2.368065
La Poste,48.834786,2.305161
La Poste,48.868096,2.282099
La Poste,48.834593,2.317096
La Poste,48.846593,2.400826
La Poste,48.879695,2.294705
La Poste,48.888651,2.373939
La Poste,48.8358,2.3528
La Poste,48.883795,2.374108
La Poste,48.86892,2.329297
La Poste,48.875999,2.346198
La Poste,48.883495,2.329329
La Poste,48.86547,2.360581
La Poste,48.851819,2.389241
La Poste,48.872498,2.326629
La Poste,48.872794,2.399269
La Poste,48.876967,2.405076
La Poste,48.844798,2.297566
La Poste,48.888382,2.39024
La Poste,48.8389,2.25705
La Poste,48.826,2.3459
La Poste,48.841297,2.316917
La Poste,48.88396,2.313929
La Poste,48.849894,2.374778
La Poste,48.864998,2.287156
La Poste,48.892738,2.378412
La Poste,48.857494,2.384945
La Poste,48.8559988,2.35776824
La Poste,48.872606,2.356151
La Poste,48.866598,2.354179
La Poste,48.85941,2.346755
La Poste,48.875091,2.323566
La Poste,48.862693,2.37175
La Poste,48.877595,2.393697
La Poste,48.898998,2.336346
La Poste,48.8711501,2.3452677
La Poste,48.8697,2.3659
La Poste,48.8463,2.410808
La Poste,48.838295,2.405759
La Poste,48.829492,2.297496
La Poste,48.823995,2.363475
La Poste,48.8982,2.3586
La Poste,48.846627,2.285077
La Poste,48.831975,2.330584
La Poste,48.8257,2.3155
La Poste,48.822799,2.325896
La Poste,48.821194,2.342527
La Poste,48.852203,2.292326
La Poste,48.8647,2.406
La Poste,49.495441,0.112543
La Poste,49.452097,1.035249
La Poste,49.440099,1.145866
La Poste,49.405894,1.051319
La Poste,49.423398,1.061692
La Poste,49.443192,1.091097
La Poste,43.213192,2.353427
La Poste,49.415796,1.088169
La Poste,49.618498,0.754854
La Poste,49.433595,1.086578
La Poste,49.512192,0.174411
La Poste,48.517296,2.63391
La Poste,48.947117,3.127697
La Poste,48.403797,2.700196
La Poste,48.879098,2.707851
La Poste,48.957199,2.88234
La Poste,48.5444384,2.64017185
La Poste,48.539696,2.66229
La Poste,48.627,2.589028
La Poste,48.5569661,3.01150083
La Poste,48.266364,2.69911
La Poste,48.772897,2.678127
La Poste,48.798493,2.605277
La Poste,48.560078,3.302539
La Poste,48.531207,2.545298
La Poste,48.945,2.60807
La Poste,48.839296,2.709418
La Poste,48.952998,2.600015
La Poste,48.903592,2.589476
La Poste,48.9529,2.913748
La Poste,48.962393,2.071328
La Poste,48.890694,2.15745
La Poste,48.804697,2.132698
La Poste,48.827199,2.12549
La Poste,48.822256,1.98916
La Poste,48.993194,2.094098
La Poste,48.767461,1.949286
La Poste,48.810696,2.044289
La Poste,48.768458,2.078003
La Poste,48.924297,2.190597
La Poste,48.994508,1.736068
La Poste,48.946393,2.144336
La Poste,48.762292,1.943397
La Poste,49.0044861,1.90934027
La Poste,48.769488,2.040696
La Poste,48.995296,1.91095
La Poste,48.817691,1.945277
La Poste,48.927697,2.04536
La Poste,48.647195,1.824199
